"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_moderator","rank_moderator href","show_movies 4","rank_user","rank_user href"
",  Week Three","2023-07-01 13:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/netherlands-canada-c170981","126","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256575256","1","4","2 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","","",""
",  Group D","2023-08-17 20:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Unibet Arena, Tallinn","https://women.volleybox.net/tr/unibet-arena-a1469/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/netherlands-spain-c155569","88","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66423","2","1","2 yıl önce önce  tarafından eklendi","","","","",""
",  Group D","2023-08-18 17:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Unibet Arena, Tallinn","https://women.volleybox.net/tr/unibet-arena-a1469/matches","Slovakya","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/slovakia-netherlands-c155570","89","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66424","1","","2 yıl önce önce  tarafından eklendi","","","","",""
",  Group D","2023-08-20 19:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Unibet Arena, Tallinn","https://women.volleybox.net/tr/unibet-arena-a1469/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/estonia-t823/matches","https://volleybox.net/media/img/light-px.png","Estonya","https://women.volleybox.net/tr/netherlands-estonia-c161103","88","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66429","1","","2 yıl önce önce  tarafından eklendi","","","","Belgium","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group D","2023-08-22 17:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Unibet Arena, Tallinn","https://women.volleybox.net/tr/unibet-arena-a1469/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","Fransa","https://women.volleybox.net/tr/netherlands-france-c161106","88","","","1","","2 yıl önce önce  tarafından eklendi","","","","Belgium","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group D","2023-08-23 17:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Unibet Arena, Tallinn","https://women.volleybox.net/tr/unibet-arena-a1469/matches","Finlandiya","https://women.volleybox.net/tr/finland-t835/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/finland-netherlands-c161108","90","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66434","","","2 yıl önce önce  tarafından eklendi","","","","Belgium","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  1/8 round","2023-08-27 19:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Palazzo Wanny, Florence","https://women.volleybox.net/tr/palazzo-wanny-a4147/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/switzerland-t1201/matches","https://volleybox.net/media/img/light-px.png","İsviçre","https://women.volleybox.net/tr/netherlands-switzerland-c189284","85","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=68937","1","2","1 yıl önce önce  tarafından eklendi","","","","",""
",  quarterfinal","2023-08-29 19:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Palazzo Wanny, Florence","https://women.volleybox.net/tr/palazzo-wanny-a4147/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/netherlands-bulgaria-c189639","79","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=67959","1","2","1 yıl önce önce  tarafından eklendi","","","","münzevî","https://women.volleybox.net/tr/user/Simflato42"
",  semi-final","2023-09-01 21:30","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Paleis 12, Brussels","https://women.volleybox.net/tr/paleis-12-a1429/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/netherlands-serbia-c189850","85","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=67962","1","2","1 yıl önce önce  tarafından eklendi","","","","münzevî","https://women.volleybox.net/tr/user/Simflato42"
",  3rd place match","2023-09-03 17:30","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Paleis 12, Brussels","https://women.volleybox.net/tr/paleis-12-a1429/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/netherlands-italy-c190162","66","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=67964","2","1","1 yıl önce önce  tarafından eklendi","","","2","Carlos Petreñas","https://women.volleybox.net/tr/user/Petre"
