"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_moderator","rank_moderator href","show_movies","show_movies href","show_movies 2","rank_admin","rank_admin href","rank_newbie","rank_newbie href"
",  Group G1","2017-07-21 16:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/china-japan-c6226","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-038.pdf","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group G1","2017-07-22 10:45","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/china-russia-c6228","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-040.pdf","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group G1","2017-07-23 10:45","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c6230","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-042.pdf","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group J1","2017-08-02 14:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/china-brazil-c6273","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-056.pdf","3","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group J1","2017-08-04 14:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/china-netherlands-c6275","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-060.pdf","2","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Semi-Final (Group 1)","2017-08-05 15:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/china-italy-c6378","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-061.pdf","1","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  3rd place match (Group 1)","2017-08-06 10:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c6412","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-063.pdf","2","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  quarterfinal","2017-08-15 05:00","Asya Şampiyonası 2017","https://women.volleybox.net/tr/women-asian-championships-2017-o3923/matches","Alonte Sports Arena, Biñan","https://women.volleybox.net/tr/alonte-sports-arena-a858/matches","Kazakistan","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/kazakhstan-china-c35360","5 yıl önce önce  tarafından eklendi","","","1","http://asianvolleyball.net/old-2018/wp-content/uploads/2017/07/Daily-Bulletin-No-7.pdf","","","","",""
",  semi-final","2017-08-16 10:00","Asya Şampiyonası 2017","https://women.volleybox.net/tr/women-asian-championships-2017-o3923/matches","Alonte Sports Arena, Biñan","https://women.volleybox.net/tr/alonte-sports-arena-a858/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/japan-china-c35356","5 yıl önce önce  tarafından eklendi","","","1","http://asianvolleyball.net/old-2018/wp-content/uploads/2017/07/Daily-Bulletin-No-8.pdf","","","","",""
",  3rd place match","2017-08-17 10:00","Asya Şampiyonası 2017","https://women.volleybox.net/tr/women-asian-championships-2017-o3923/matches","Alonte Sports Arena, Biñan","https://women.volleybox.net/tr/alonte-sports-arena-a858/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c35353","5 yıl önce önce  tarafından eklendi","","","1","http://asianvolleyball.net/old-2018/wp-content/uploads/2017/07/Daily-Bulletin-9.pdf","1","","","",""
",  1st match","2017-09-05 11:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/usa-china-c31239","5 yıl önce önce  tarafından eklendi","","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  2nd match","2017-09-06 08:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/brazil-china-c31241","5 yıl önce önce  tarafından eklendi","","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  3rd match","2017-09-08 11:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c31245","5 yıl önce önce  tarafından eklendi","","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  4th match","2017-09-09 08:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/russia-china-c31247","5 yıl önce önce  tarafından eklendi","","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  5th match","2017-09-10 14:15","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/china-japan-c31252","5 yıl önce önce  tarafından eklendi","","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
