"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","show_movies 4","rank_user href"
",  Week Two","2024-06-01 21:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/south-korea-turkey-c215184","124","https://women.volleybox.net/tr/frame/match_report/0/88794","1","1","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Two","2024-06-02 23:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/usa-turkey-c215192","125","https://women.volleybox.net/tr/frame/match_report/0/88795","1","1","1 yıl önce önce  tarafından eklendi","I…Y","1",""
",  Week Three","2024-06-12 12:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/turkey-thailand-c228297","125","https://women.volleybox.net/tr/frame/match_report/0/88796","1","1","1 yıl önce önce  tarafından eklendi","-Jeffrey-","","https://women.volleybox.net/tr/user/-Jeffrey-"
",  Week Three","2024-06-13 15:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/dominican-republic-turkey-c228301","127","https://women.volleybox.net/tr/frame/match_report/0/88797","1","1","1 yıl önce önce  tarafından eklendi","-Jeffrey-","","https://women.volleybox.net/tr/user/-Jeffrey-"
",  Week Three","2024-06-15 15:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/china-turkey-c228361","125","https://women.volleybox.net/tr/frame/match_report/0/88798","1","2","1 yıl önce önce  tarafından eklendi","-Jeffrey-","1","https://women.volleybox.net/tr/user/-Jeffrey-"
",  Week Three","2024-06-16 12:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/turkey-brazil-c228364","124","https://women.volleybox.net/tr/frame/match_report/0/88799","2","3","1 yıl önce önce  tarafından eklendi","-Jeffrey-","1","https://women.volleybox.net/tr/user/-Jeffrey-"
",  quarterfinal","2024-06-21 16:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/poland-turkey-c236069","84","https://women.volleybox.net/tr/frame/match_report/0/88800","1","1","11 ay önce önce  tarafından eklendi","dfondatto","3","https://women.volleybox.net/tr/user/dfondatto"
",  Group C","2024-07-29 10:00","Olimpiyat Oyunları 2024","https://women.volleybox.net/tr/women-the-olympics-2024-o30223/matches","Arena Paris Sud, Paris","https://women.volleybox.net/tr/arena-paris-sud-a7767/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/turkey-netherlands-c236698","96","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/schedule/19089/","1","1","11 ay önce önce  tarafından eklendi","","1",""
",  Group C","2024-08-01 10:00","Olimpiyat Oyunları 2024","https://women.volleybox.net/tr/women-the-olympics-2024-o30223/matches","Arena Paris Sud, Paris","https://women.volleybox.net/tr/arena-paris-sud-a7767/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/turkey-dominican-republic-c236704","98","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/schedule/19095/","1","1","11 ay önce önce  tarafından eklendi","","1",""
",  Group C","2024-08-04 10:00","Olimpiyat Oyunları 2024","https://women.volleybox.net/tr/women-the-olympics-2024-o30223/matches","Arena Paris Sud, Paris","https://women.volleybox.net/tr/arena-paris-sud-a7767/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/italy-turkey-c236710","103","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/schedule/19101/","1","1","11 ay önce önce  tarafından eklendi","","2",""
",  quarterfinal","2024-08-06 10:00","Olimpiyat Oyunları 2024","https://women.volleybox.net/tr/women-the-olympics-2024-o30223/matches","Arena Paris Sud, Paris","https://women.volleybox.net/tr/arena-paris-sud-a7767/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/turkey-china-c243993","72","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/schedule/19107/","1","2","10 ay önce önce  tarafından eklendi","Kerim Küçük","2","https://women.volleybox.net/tr/user/kerimkucuk95"
",  semi-final","2024-08-08 21:00","Olimpiyat Oyunları 2024","https://women.volleybox.net/tr/women-the-olympics-2024-o30223/matches","Arena Paris Sud, Paris","https://women.volleybox.net/tr/arena-paris-sud-a7767/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/turkey-italy-c244291","75","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/schedule/19110/","1","2","10 ay önce önce  tarafından eklendi","Kerim Küçük","1","https://women.volleybox.net/tr/user/kerimkucuk95"
",  3rd place match","2024-08-10 18:15","Olimpiyat Oyunları 2024","https://women.volleybox.net/tr/women-the-olympics-2024-o30223/matches","Arena Paris Sud, Paris","https://women.volleybox.net/tr/arena-paris-sud-a7767/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/brazil-turkey-c244995","65","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/schedule/19111/","1","2","10 ay önce önce  tarafından eklendi","sorsimloumou","1","https://women.volleybox.net/tr/user/what_do_u_mean_1023"
