"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_editor","rank_editor href"
",  Week One","2024-05-19 23:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/thailand-south-korea-c215160","126","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256662488","1","2","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Two","2024-05-29 19:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/south-korea-bulgaria-c215167","128","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256664836.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20240529%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240529T215628Z&X-Amz-SignedHeaders=host&X-Amz-Signature=3d6326163d4c747de15c245be56fdc9c23ad4f1bb5e9aa69cb29360743b2d4c0","1","1","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Two","2024-05-30 20:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/south-korea-poland-c215172","129","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256665307.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20240530%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240530T193747Z&X-Amz-SignedHeaders=host&X-Amz-Signature=8a57d54eaf67696c2eb086490ed37ec389f313328c1577c60d2d6a97f2660d39","1","1","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Two","2024-06-01 21:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/south-korea-turkey-c215184","124","1","https://women.volleybox.net/tr/frame/match_report/0/88794","1","1","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Two","2024-06-02 19:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/south-korea-canada-c215191","126","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256666435.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20240602%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240602T195342Z&X-Amz-SignedHeaders=host&X-Amz-Signature=82a68103d5ba90c00d1aa745eae6c6283c074dcb3652fef06b2000b7690457bb","1","1","1 yıl önce önce  tarafından eklendi","I…Y","",""
",  Week Three","2024-06-12 13:20","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Marine Messe Fukuoka, Fukuoka","https://women.volleybox.net/tr/marine-messe-fukuoka-a259/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/south-korea-japan-c228320","125","","","1","1","1 yıl önce önce  tarafından eklendi","-Jeffrey-","",""
",  Week Three","2024-06-13 09:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Marine Messe Fukuoka, Fukuoka","https://women.volleybox.net/tr/marine-messe-fukuoka-a259/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/france-south-korea-c228323","125","","","1","1","1 yıl önce önce  tarafından eklendi","-Jeffrey-","",""
",  Week Three","2024-06-14 13:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Marine Messe Fukuoka, Fukuoka","https://women.volleybox.net/tr/marine-messe-fukuoka-a259/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/italy-south-korea-c228354","114","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256672711.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250326%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250326T103600Z&X-Amz-SignedHeaders=host&X-Amz-Signature=abf19f1dfa9aaf417ab0e67d576e631b92981c53cf3c5aa06d3df33ee31352df","1","1","1 yıl önce önce  tarafından eklendi","-Jeffrey-","",""
",  Week Three","2024-06-16 05:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Marine Messe Fukuoka, Fukuoka","https://women.volleybox.net/tr/marine-messe-fukuoka-a259/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/netherlands-south-korea-c228344","124","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/19047/#boxscore","1","1","1 yıl önce önce  tarafından eklendi","-Jeffrey-","",""
",  Group A","2024-08-13 11:30","AVC Eastern Zonal Championship 2024","https://women.volleybox.net/tr/women-avc-eastern-zonal-championship-2024-o33106/matches","Queen Elizabeth Stadium, Wan Chai","https://women.volleybox.net/tr/queen-elizabeth-stadium-a7956/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/north-korea-t943/matches","https://volleybox.net/media/img/light-px.png","Kuzey Kore","https://women.volleybox.net/tr/south-korea-north-korea-c245864","","","","","","10 ay önce önce  tarafından eklendi","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group A","2024-08-14 14:00","AVC Eastern Zonal Championship 2024","https://women.volleybox.net/tr/women-avc-eastern-zonal-championship-2024-o33106/matches","Queen Elizabeth Stadium, Wan Chai","https://women.volleybox.net/tr/queen-elizabeth-stadium-a7956/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/hong-kong-t895/matches","https://volleybox.net/media/img/light-px.png","Hong Kong","https://women.volleybox.net/tr/south-korea-hong-kong-c245869","","","","1","","10 ay önce önce  tarafından eklendi","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group A","2024-08-15 09:00","AVC Eastern Zonal Championship 2024","https://women.volleybox.net/tr/women-avc-eastern-zonal-championship-2024-o33106/matches","Queen Elizabeth Stadium, Wan Chai","https://women.volleybox.net/tr/queen-elizabeth-stadium-a7956/matches","Moğolistan","https://women.volleybox.net/tr/mongolia-t1030/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/mongolia-south-korea-c245871","","","","","","10 ay önce önce  tarafından eklendi","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  semi-final","2024-08-17 15:00","AVC Eastern Zonal Championship 2024","https://women.volleybox.net/tr/women-avc-eastern-zonal-championship-2024-o33106/matches","Queen Elizabeth Stadium, Wan Chai","https://women.volleybox.net/tr/queen-elizabeth-stadium-a7956/matches","Japonya U23","https://women.volleybox.net/tr/japan-u23-t3383/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/japan-u23-south-korea-c246609","","","","","","10 ay önce önce  tarafından eklendi","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  3rd place match","2024-08-18 11:30","AVC Eastern Zonal Championship 2024","https://women.volleybox.net/tr/women-avc-eastern-zonal-championship-2024-o33106/matches","Queen Elizabeth Stadium, Wan Chai","https://women.volleybox.net/tr/queen-elizabeth-stadium-a7956/matches","Kuzey Kore","https://women.volleybox.net/tr/north-korea-t943/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/north-korea-south-korea-c247854","","","","","","9 ay önce önce  tarafından eklendi","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
