"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_predictions","show_movies 2","show_movies href"
",  round robin - 6th round","2021-06-02 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/germany-canada-c70055","4 yıl önce önce  tarafından eklendi","S…k","","56","1","https://cdn6.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-43-Canada-Germania-0-3.jpg"
",  round robin - 7th round","2021-06-06 19:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/canada-poland-c70066","4 yıl önce önce  tarafından eklendi","S…k","","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312163"
",  round robin - 8th round","2021-06-07 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/canada-japan-c70071","4 yıl önce önce  tarafından eklendi","S…k","","56","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312218"
",  round robin - 9th round","2021-06-08 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/canada-netherlands-c70079","4 yıl önce önce  tarafından eklendi","S…k","","53","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312335"
",  round robin - 10th round","2021-06-12 19:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/canada-serbia-c70091","4 yıl önce önce  tarafından eklendi","S…k","","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313621"
",  round robin - 11th round","2021-06-13 17:35","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/russia-canada-c70097","4 yıl önce önce  tarafından eklendi","S…k","","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313785"
",  round robin - 12nd round","2021-06-14 19:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/south-korea-canada-c70106","4 yıl önce önce  tarafından eklendi","S…k","","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313868"
",  round robin - 13rd round","2021-06-18 20:30","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/canada-italy-c70117","4 yıl önce önce  tarafından eklendi","S…k","","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314206"
",  round robin - 14th round","2021-06-19 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/thailand-canada-c71721","4 yıl önce önce  tarafından eklendi","S…k","","55","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314269"
",  round robin - 15th round","2021-06-20 20:30","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/belgium-canada-c70135","4 yıl önce önce  tarafından eklendi","S…k","","55","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314362"
",  Group A","2021-08-28 01:30","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/usa-canada-c81946","3 yıl önce önce  tarafından eklendi","","1","","1","https://www.norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/WNOR2021%20-%20Match%205%20-%20P-3%20(Match%20players%20ranking).pdf"
",  Group A","2021-08-29 01:30","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/puerto-rico-canada-c81949","3 yıl önce önce  tarafından eklendi","","","","1","https://www.norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/WNOR2021%20-%20Match%208%20-%20P-3%20(Match%20players%20ranking).pdf"
",  semi-final","2021-08-31 01:30","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/canada-puerto-rico-c82342","3 yıl önce önce  tarafından eklendi","","","","1","https://www.norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/WNOR2021%20-%20Match%2013%20-%20P-3%20(Match%20players%20ranking).pdf"
",  3rd place match","2021-09-01 01:30","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/canada-usa-c82389","3 yıl önce önce  tarafından eklendi","","","","",""
