"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_predictions","show_movies","show_movies href","show_movies 2","rank_editor","rank_editor href","rank_user href"
",  Group C","2021-05-31 18:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Belarus","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/belarus-czech-republic-c71801","4 yıl önce önce  tarafından eklendi","","26","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40329","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group C","2021-06-02 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/hungary-czech-republic-c71810","4 yıl önce önce  tarafından eklendi","","27","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40439","1","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group C","2021-06-03 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/czech-republic-croatia-c71806","4 yıl önce önce  tarafından eklendi","","27","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40437","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group C","2021-06-04 21:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Belarus","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/belarus-czech-republic-c71804","4 yıl önce önce  tarafından eklendi","","27","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40436","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  semi-final","2021-06-19 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Bulstrad Arena, Ruse","https://women.volleybox.net/tr/bulstrad-arena-a769/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/czech-republic-bulgaria-c73487","4 yıl önce önce  tarafından eklendi","","29","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=45230","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  3rd place match","2021-06-20 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Bulstrad Arena, Ruse","https://women.volleybox.net/tr/bulstrad-arena-a769/matches","İspanya","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/spain-czech-republic-c74936","3 yıl önce önce  tarafından eklendi","","19","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=45231","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  1st match","2021-08-05 18:00","Savaria Cup 2021","https://women.volleybox.net/tr/women-savaria-cup-2021-o20999/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/czech-republic-netherlands-c79816","3 yıl önce önce  tarafından eklendi","","","","","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  2nd match","2021-08-06 20:30","Savaria Cup 2021","https://women.volleybox.net/tr/women-savaria-cup-2021-o20999/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/hungary-czech-republic-c79819","3 yıl önce önce  tarafından eklendi","","","","","1","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  3rd match","2021-08-07 18:00","Savaria Cup 2021","https://women.volleybox.net/tr/women-savaria-cup-2021-o20999/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","Azerbaycan","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/azerbaijan-czech-republic-c79820","3 yıl önce önce  tarafından eklendi","","","","","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group B","2021-08-19 17:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Kolodruma Sport Hall, Plovdiv","https://women.volleybox.net/tr/kolodruma-sport-hall-a908/matches","İspanya","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/spain-czech-republic-c75803","3 yıl önce önce  tarafından eklendi","Sudo","46","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46307","","","","https://women.volleybox.net/tr/user/Sudo"
",  Group B","2021-08-20 17:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Kolodruma Sport Hall, Plovdiv","https://women.volleybox.net/tr/kolodruma-sport-hall-a908/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/czech-republic-germany-c75805","3 yıl önce önce  tarafından eklendi","Sudo","45","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46309","","","","https://women.volleybox.net/tr/user/Sudo"
",  Group B","2021-08-21 17:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Kolodruma Sport Hall, Plovdiv","https://women.volleybox.net/tr/kolodruma-sport-hall-a908/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/czech-republic-poland-c75807","3 yıl önce önce  tarafından eklendi","Sudo","46","1","https://eurovolley.cev.eu/en/match-centres/2021/women/wfb-06-czech-republic-v-poland/","","","","https://women.volleybox.net/tr/user/Sudo"
",  Group B","2021-08-23 17:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Kolodruma Sport Hall, Plovdiv","https://women.volleybox.net/tr/kolodruma-sport-hall-a908/matches","Yunanistan","https://women.volleybox.net/tr/greece-t862/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/greece-czech-republic-c75811","3 yıl önce önce  tarafından eklendi","Sudo","48","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46315","","","","https://women.volleybox.net/tr/user/Sudo"
",  Group B","2021-08-24 21:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Kolodruma Sport Hall, Plovdiv","https://women.volleybox.net/tr/kolodruma-sport-hall-a908/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/bulgaria-czech-republic-c75814","3 yıl önce önce  tarafından eklendi","Sudo","45","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46318","","","","https://women.volleybox.net/tr/user/Sudo"
",  1/8 round","2021-08-29 17:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Kolodruma Sport Hall, Plovdiv","https://women.volleybox.net/tr/kolodruma-sport-hall-a908/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/turkey-czech-republic-c82126","3 yıl önce önce  tarafından eklendi","","43","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46419","1","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou",""
