"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_user href","rank_editor","rank_editor href"
",  3rd round - Group B","2022-06-30 20:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/south-korea-brazil-c114655","71","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513488","1","1","3 yıl önce önce  tarafından eklendi","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  3rd round - Group B","2022-07-01 16:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/italy-south-korea-c114657","65","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513336","1","2","3 yıl önce önce  tarafından eklendi","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  3rd round - Group B","2022-07-03 13:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c114662","68","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513973","1","2","3 yıl önce önce  tarafından eklendi","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  Group A","2022-08-21 08:00","AVC Cup 2022","https://women.volleybox.net/tr/women-avc-cup-2022-o23922/matches","PhilSports Arena, Pasig","https://women.volleybox.net/tr/philsports-arena-a1378/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c124264","","1","https://women.volleybox.net/tr/frame/match_report/0/17285","1","","2 yıl önce önce  tarafından eklendi","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group A","2022-08-22 14:00","AVC Cup 2022","https://women.volleybox.net/tr/women-avc-cup-2022-o23922/matches","PhilSports Arena, Pasig","https://women.volleybox.net/tr/philsports-arena-a1378/matches","İran","https://women.volleybox.net/tr/iran-t910/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/iran-south-korea-c124270","","1","https://women.volleybox.net/tr/frame/match_report/0/17327","1","","2 yıl önce önce  tarafından eklendi","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group A","2022-08-24 08:00","AVC Cup 2022","https://women.volleybox.net/tr/women-avc-cup-2022-o23922/matches","PhilSports Arena, Pasig","https://women.volleybox.net/tr/philsports-arena-a1378/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/south-korea-vietnam-c124276","","1","https://women.volleybox.net/tr/frame/match_report/0/17331","1","1","2 yıl önce önce  tarafından eklendi","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group A","2022-08-25 14:00","AVC Cup 2022","https://women.volleybox.net/tr/women-avc-cup-2022-o23922/matches","PhilSports Arena, Pasig","https://women.volleybox.net/tr/philsports-arena-a1378/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/philippines-t1111/matches","https://volleybox.net/media/img/light-px.png","Filipinler","https://women.volleybox.net/tr/south-korea-philippines-c124282","","1","https://women.volleybox.net/tr/frame/match_report/0/17354","1","","2 yıl önce önce  tarafından eklendi","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",","2022-09-18 18:00","dostluk maçı 2021/22","https://volleybox.net/tr/men-friendly-match-2021-22-o21985/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","4 : 1","https://volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://volleybox.net/tr/bulgaria-south-korea-c131332","","","","1","","2 yıl önce önce  tarafından eklendi","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",","2022-09-19 13:00","dostluk maçı 2021/22","https://women.volleybox.net/tr/women-friendly-match-2021-22-o21986/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","4 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/bulgaria-south-korea-c130304","","","","1","","2 yıl önce önce  tarafından eklendi","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  Group B","2022-09-24 19:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/dominican-republic-south-korea-c113234","139","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540325","3","4","3 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Group B","2022-09-27 15:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/turkey-south-korea-c113236","143","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540823","3","6","3 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Group B","2022-09-28 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/poland-south-korea-c113279","138","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541279","2","2","3 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Group B","2022-09-29 15:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/south-korea-thailand-c113241","139","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541640","2","2","3 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Group B","2022-10-01 18:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/south-korea-croatia-c113245","136","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256542282","2","2","3 yıl önce önce  tarafından eklendi","I…Y","","",""
