"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","rank_user href","show_predictions","show_movies 2","show_movies href","rank_editor","rank_editor href"
",  round robin - 9th round","2021-06-08 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/turkey-russia-c70078","4 yıl önce önce  tarafından eklendi","S…k","1","","54","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312334","",""
",  round robin - 10th round","2021-06-12 11:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/russia-south-korea-c70085","4 yıl önce önce  tarafından eklendi","S…k","","","61","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313488","",""
",  round robin - 11th round","2021-06-13 17:35","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/russia-canada-c70097","4 yıl önce önce  tarafından eklendi","S…k","","","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313785","",""
",  round robin - 12nd round","2021-06-14 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/russia-serbia-c70102","4 yıl önce önce  tarafından eklendi","S…k","1","","59","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313831","",""
",  round robin - 13rd round","2021-06-18 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/china-russia-c70115","4 yıl önce önce  tarafından eklendi","S…k","","","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314190","",""
",  round robin - 14th round","2021-06-19 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/usa-russia-c70120","4 yıl önce önce  tarafından eklendi","S…k","1","","55","1","https://usavolleyball.org/wp-content/uploads/2021/06/6-19-21-WVNL-USAvRUS.pdf","",""
",  round robin - 15th round","2021-06-20 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/russia-poland-c70133","4 yıl önce önce  tarafından eklendi","S…k","","","55","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314350","",""
",  Group B","2021-07-25 03:00","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/russia-italy-c40153","4 yıl önce önce  tarafından eklendi","","3","","71","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256318281","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group B","2021-07-27 03:00","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/russia-argentina-c40166","4 yıl önce önce  tarafından eklendi","","1","","77","1","https://olympics.com/tokyo-2020/olympic-games/resOG2020-/pdf/OG2020-/VVO/OG2020-_VVO_C73_VVOWTEAM6-------------GPB-000400--.pdf","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group B","2021-07-29 10:25","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/china-russia-c40170","4 yıl önce önce  tarafından eklendi","","2","","74","1","https://olympics.com/tokyo-2020/olympic-games/resOG2020-/pdf/OG2020-/VVO/OG2020-_VVO_C73_VVOWTEAM6-------------GPB-000800--.pdf","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group B","2021-07-31 05:05","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/usa-russia-c40172","4 yıl önce önce  tarafından eklendi","","1","","75","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256319349","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group B","2021-08-02 08:20","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/russia-turkey-c40176","4 yıl önce önce  tarafından eklendi","","1","","74","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256319820","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  quarterfinal","2021-08-04 15:30","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/brazil-russia-c80012","3 yıl önce önce  tarafından eklendi","","4","","56","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256320052","swissvolleyfan","https://women.volleybox.net/tr/user/swissvolleyfan"
",  Group A","2021-08-20 21:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","Fransa","https://women.volleybox.net/tr/russia-france-c75789","3 yıl önce önce  tarafından eklendi","Sudo","","https://women.volleybox.net/tr/user/Sudo","48","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46293","",""
",  Group A","2021-08-22 18:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","Azerbaycan","https://women.volleybox.net/tr/russia-azerbaijan-c75792","3 yıl önce önce  tarafından eklendi","Sudo","1","https://women.volleybox.net/tr/user/Sudo","45","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46296","",""
",  Group A","2021-08-23 18:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/belgium-russia-c75794","3 yıl önce önce  tarafından eklendi","Sudo","","https://women.volleybox.net/tr/user/Sudo","49","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46298","",""
",  Group A","2021-08-25 21:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/serbia-russia-c75799","3 yıl önce önce  tarafından eklendi","Sudo","1","https://women.volleybox.net/tr/user/Sudo","39","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46303","",""
",  Group A","2021-08-26 18:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/bosnia-and-herzegovina-t718/matches","https://volleybox.net/media/img/light-px.png","Bosna Hersek","https://women.volleybox.net/tr/russia-bosnia-and-herzegovina-c75800","3 yıl önce önce  tarafından eklendi","Sudo","","https://women.volleybox.net/tr/user/Sudo","42","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46304","",""
",  1/8 round","2021-08-30 21:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/russia-belarus-c82131","3 yıl önce önce  tarafından eklendi","","1","","47","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46416","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  quarterfinal","2021-09-01 18:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/italy-russia-c82395","3 yıl önce önce  tarafından eklendi","","1","","42","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46424","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
