"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_user","show_predictions","show_movies 2","show_movies href","show_movies 3","show_movies 4","rank_moderator","rank_moderator href","rank_user href"
",  Week Two","2023-06-16 23:30","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/south-korea-croatia-c170943","1","2 yıl önce önce  tarafından eklendi","","126","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256571439","2","","avid","https://women.volleybox.net/tr/user/avid",""
",  Week Two","2023-06-18 03:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/serbia-croatia-c170950","1","2 yıl önce önce  tarafından eklendi","","124","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256571984","2","","avid","https://women.volleybox.net/tr/user/avid",""
",  Week Two","2023-06-18 20:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/thailand-croatia-c170955","1","2 yıl önce önce  tarafından eklendi","","124","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256572208","1","2","avid","https://women.volleybox.net/tr/user/avid",""
",  Week Three","2023-06-27 13:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/croatia-canada-c170958","1","2 yıl önce önce  tarafından eklendi","","129","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256573662","3","","avid","https://women.volleybox.net/tr/user/avid",""
",  Week Three","2023-06-29 09:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/croatia-netherlands-c170966","1","2 yıl önce önce  tarafından eklendi","","124","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256573927","2","","avid","https://women.volleybox.net/tr/user/avid",""
",  Week Three","2023-07-01 09:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/italy-croatia-c170979","1","2 yıl önce önce  tarafından eklendi","","127","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256575158","3","","avid","https://women.volleybox.net/tr/user/avid",""
",  Week Three","2023-07-02 09:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/croatia-turkey-c170985","1","2 yıl önce önce  tarafından eklendi","","129","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256575664","3","","avid","https://women.volleybox.net/tr/user/avid",""
",  quarterfinal","2023-07-27 21:30","Challenger Cup 2023","https://women.volleybox.net/tr/women-challenger-cup-2023-o25086/matches","Espace Mayenne, Laval","https://women.volleybox.net/tr/espace-mayenne-a3662/matches","Ukrayna","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/ukraine-croatia-c180183","1","1 yıl önce önce  tarafından eklendi","Pablo","","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256605048","1","1","","","https://women.volleybox.net/tr/user/PabloUndersokningar"
",  Group B","2023-08-16 22:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Arena di Monza, Monza","https://women.volleybox.net/tr/arena-di-monza-a228/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/bulgaria-croatia-c161089","1","2 yıl önce önce  tarafından eklendi","Belgium","92","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66601","1","","","","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group B","2023-08-17 22:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Arena di Monza, Monza","https://women.volleybox.net/tr/arena-di-monza-a228/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/romania-croatia-c161091","1","2 yıl önce önce  tarafından eklendi","Belgium","89","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66603","1","","","","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group B","2023-08-18 19:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Arena di Monza, Monza","https://women.volleybox.net/tr/arena-di-monza-a228/matches","Bosna Hersek","https://women.volleybox.net/tr/bosnia-and-herzegovina-t718/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/bosnia-and-herzegovina-croatia-c161092","1","2 yıl önce önce  tarafından eklendi","Belgium","91","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66604","","","","","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group B","2023-08-21 22:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Pala Gianni Asti, Torino","https://women.volleybox.net/tr/pala-gianni-asti-a247/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/switzerland-t1201/matches","https://volleybox.net/media/img/light-px.png","İsviçre","https://women.volleybox.net/tr/croatia-switzerland-c161097","","2 yıl önce önce  tarafından eklendi","Belgium","88","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66609","","","","","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  Group B","2023-08-23 22:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Pala Gianni Asti, Torino","https://women.volleybox.net/tr/pala-gianni-asti-a247/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/italy-croatia-c161101","1","2 yıl önce önce  tarafından eklendi","Belgium","92","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66613","","","","","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
