"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_admin","rank_admin href","show_predictions","show_movies 2","show_movies href","rank_user href"
",  Group J","2018-05-29 21:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","HS Kraljevo, Kraljevo","https://women.volleybox.net/tr/hs-kraljevo-a681/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/serbia-russia-c10108","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group J","2018-05-30 21:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","HS Kraljevo, Kraljevo","https://women.volleybox.net/tr/hs-kraljevo-a681/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/belgium-serbia-c10110","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group J","2018-05-31 21:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","HS Kraljevo, Kraljevo","https://women.volleybox.net/tr/hs-kraljevo-a681/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/turkey-serbia-c10112","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group M","2018-06-05 17:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Topsporthal Hall, Rotterdam","https://women.volleybox.net/tr/topsporthal-hall-a303/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/italy-serbia-c10125","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group M","2018-06-06 17:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Topsporthal Hall, Rotterdam","https://women.volleybox.net/tr/topsporthal-hall-a303/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/serbia-dominican-republic-c10127","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group M","2018-06-07 20:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Topsporthal Hall, Rotterdam","https://women.volleybox.net/tr/topsporthal-hall-a303/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/netherlands-serbia-c10130","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group T","2018-06-12 23:40","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Estadio Ángel Malvicino, Santa Fe","https://women.volleybox.net/tr/estadio-angel-malvicino-a2201/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/serbia-usa-c10215","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group T","2018-06-14 02:40","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Estadio Ángel Malvicino, Santa Fe","https://women.volleybox.net/tr/estadio-angel-malvicino-a2201/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/argentina-serbia-c10218","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group T","2018-06-14 23:40","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Estadio Ángel Malvicino, Santa Fe","https://women.volleybox.net/tr/estadio-angel-malvicino-a2201/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/south-korea-serbia-c10219","7 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Final Round - Group B","2018-06-28 10:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/serbia-turkey-c10254","6 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Final Round - Group B","2018-06-29 10:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/usa-serbia-c10253","6 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group D","2018-09-29 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hamamatsu Arena, Hamamatsu","https://women.volleybox.net/tr/hamamatsu-arena-a260/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/dominican-republic-serbia-c9739","7 yıl önce önce  tarafından eklendi","Anderson Antunes","","","11","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121104","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group D","2018-09-30 13:20","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hamamatsu Arena, Hamamatsu","https://women.volleybox.net/tr/hamamatsu-arena-a260/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/kenya-serbia-c9755","7 yıl önce önce  tarafından eklendi","Anderson Antunes","","","11","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121292","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group D","2018-10-01 13:20","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hamamatsu Arena, Hamamatsu","https://women.volleybox.net/tr/hamamatsu-arena-a260/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/serbia-brazil-c9761","7 yıl önce önce  tarafından eklendi","Anderson Antunes","","","8","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121557","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group D","2018-10-03 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hamamatsu Arena, Hamamatsu","https://women.volleybox.net/tr/hamamatsu-arena-a260/matches","Kazakistan","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/kazakhstan-serbia-c9779","7 yıl önce önce  tarafından eklendi","Anderson Antunes","","","9","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122045","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group D","2018-10-04 07:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hamamatsu Arena, Hamamatsu","https://women.volleybox.net/tr/hamamatsu-arena-a260/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/serbia-puerto-rico-c9787","7 yıl önce önce  tarafından eklendi","Anderson Antunes","","","9","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122256","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group E","2018-10-07 04:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/mexico-serbia-c11131","6 yıl önce önce  tarafından eklendi","Anderson Antunes","","","8","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122672","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group E","2018-10-08 04:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/germany-serbia-c11139","6 yıl önce önce  tarafından eklendi","Anderson Antunes","","","8","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122777","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group E","2018-10-10 13:20","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/japan-serbia-c11153","6 yıl önce önce  tarafından eklendi","Anderson Antunes","","","11","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256123363","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group E","2018-10-11 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/netherlands-serbia-c11159","6 yıl önce önce  tarafından eklendi","Anderson Antunes","","","12","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256123643","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group G","2018-10-14 13:20","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/japan-serbia-c11221","6 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","8","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256124331",""
",  Group G","2018-10-16 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/italy-serbia-c11224","6 yıl önce önce  tarafından eklendi","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","10","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256124751",""
",  semi-final","2018-10-19 07:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/serbia-netherlands-c11263","6 yıl önce önce  tarafından eklendi","Anderson Antunes","","","9","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256125317","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  final","2018-10-20 13:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/serbia-italy-c11303","6 yıl önce önce  tarafından eklendi","Anderson Antunes","","","5","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256125563","https://women.volleybox.net/tr/user/Anderson-Antunes"
