"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_admin","rank_admin href","show_movies","show_predictions","show_movies 2","show_movies href","rank_user","rank_user href"
",  Group P","2018-06-07 18:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Łuczniczka, Bydgoszcz","https://women.volleybox.net/tr/luczniczka-a310/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/argentina-germany-c10147","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","","","",""
",  Group Q","2018-06-12 21:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Porsche Arena, Stuttgart","https://women.volleybox.net/tr/porsche-arena-a131/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/germany-china-c10198","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","","","",""
",  Group Q","2018-06-13 21:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Porsche Arena, Stuttgart","https://women.volleybox.net/tr/porsche-arena-a131/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/germany-turkey-c10200","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","","","",""
",  Group Q","2018-06-14 21:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Porsche Arena, Stuttgart","https://women.volleybox.net/tr/porsche-arena-a131/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/germany-netherlands-c10202","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","","","",""
",  Group A","2018-09-29 09:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/germany-netherlands-c9736","7 yıl önce önce  tarafından eklendi","","","2","11","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121117","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group A","2018-09-30 07:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Kamerun","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/cameroon-germany-c9744","7 yıl önce önce  tarafından eklendi","","","1","11","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121206","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group A","2018-10-01 07:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/germany-argentina-c9756","7 yıl önce önce  tarafından eklendi","","","","10","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121415","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group A","2018-10-03 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/mexico-germany-c9776","7 yıl önce önce  tarafından eklendi","","","1","9","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122081","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group A","2018-10-04 13:20","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/germany-japan-c9792","7 yıl önce önce  tarafından eklendi","","","","9","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122411","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group E","2018-10-07 07:25","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/germany-brazil-c11133","6 yıl önce önce  tarafından eklendi","","","1","8","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122695","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group E","2018-10-08 04:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/germany-serbia-c11139","6 yıl önce önce  tarafından eklendi","","","","8","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122777","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group E","2018-10-10 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/germany-puerto-rico-c11151","6 yıl önce önce  tarafından eklendi","","","","11","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256123311","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group E","2018-10-11 07:25","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/germany-dominican-republic-c11157","6 yıl önce önce  tarafından eklendi","","","","12","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256123583","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
