"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_moderator","rank_moderator href","rank_user","rank_admin","rank_admin href"
",  5-8 places","2017-06-25 04:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/canada-argentina-c6089","7 yıl önce önce  tarafından eklendi","","","Airton Neto","",""
",  7th place match","2017-06-25 22:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/colombia-argentina-c185539","1 yıl önce önce  tarafından eklendi","","","J…e","",""
",  Group B2","2017-07-07 22:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/argentina-canada-c6142","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","",""
",  Group B2","2017-07-08 20:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/argentina-croatia-c6144","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","",""
",  Group B2","2017-07-09 20:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/argentina-poland-c6162","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","",""
",  Group E2","2017-07-14 18:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hala Sportowo-Widowiskowa, Ostrowiec Świętokrzyski","https://women.volleybox.net/tr/hala-sportowo-widowiskowa-a867/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/argentina-south-korea-c6213","7 yıl önce önce  tarafından eklendi","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group E2","2017-07-15 21:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hala Sportowo-Widowiskowa, Ostrowiec Świętokrzyski","https://women.volleybox.net/tr/hala-sportowo-widowiskowa-a867/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/poland-argentina-c6216","7 yıl önce önce  tarafından eklendi","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group E2","2017-07-16 18:25","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Hala Sportowo-Widowiskowa, Ostrowiec Świętokrzyski","https://women.volleybox.net/tr/hala-sportowo-widowiskowa-a867/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/peru-argentina-c6217","7 yıl önce önce  tarafından eklendi","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group I2","2017-07-21 20:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/croatia-argentina-c6250","7 yıl önce önce  tarafından eklendi","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group I2","2017-07-22 17:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/puerto-rico-argentina-c6251","7 yıl önce önce  tarafından eklendi","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group I2","2017-07-23 17:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/bulgaria-argentina-c6253","7 yıl önce önce  tarafından eklendi","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Round Robin","2017-08-15 18:00","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/brazil-argentina-c6435","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","",""
",  Round Robin","2017-08-16 18:00","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/argentina-peru-c6438","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","",""
",  Round Robin","2017-08-17 20:30","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/colombia-argentina-c6442","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","",""
",  Round Robin","2017-08-18 16:00","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Şili","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/chile-argentina-c6444","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","",""
",  Round Robin","2017-08-19 12:30","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/img/light-px.png","Venezuela","https://women.volleybox.net/tr/argentina-venezuela-c6447","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","",""
