"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_moderator","rank_moderator href","rank_newbie","rank_newbie href","rank_editor","rank_editor href"
",  Week Three","2023-07-02 08:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","West Suwon Chilbo Gymnasium, Suwon","https://women.volleybox.net/tr/west-suwon-chilbo-gymnasium-a6087/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/poland-south-korea-c170984","129","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256575657","1","2","2 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","","","",""
",  Group C","2023-08-30 11:00","Asya Şampiyonası 2023","https://women.volleybox.net/tr/women-asian-championships-2023-o25267/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/south-korea-vietnam-c187113","","1","https://asianvolleyball.net/new/wp-content/uploads/2023/08/Bulletin_No2_Sr.Women_.pdf","","","1 yıl önce önce  tarafından eklendi","","","Tia_maria","https://women.volleybox.net/tr/user/Tia_maria","",""
",  Group C","2023-08-31 14:00","Asya Şampiyonası 2023","https://women.volleybox.net/tr/women-asian-championships-2023-o25267/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/south-korea-chinese-taipei-c187118","","1","https://asianvolleyball.net/new/wp-content/uploads/2023/09/Bulletin_No3_Sr.Women_.pdf","","","1 yıl önce önce  tarafından eklendi","","","Tia_maria","https://women.volleybox.net/tr/user/Tia_maria","",""
",  Group C","2023-09-01 11:00","Asya Şampiyonası 2023","https://women.volleybox.net/tr/women-asian-championships-2023-o25267/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Özbekistan","https://women.volleybox.net/tr/uzbekistan-t1261/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/uzbekistan-south-korea-c187123","","1","https://asianvolleyball.net/new/wp-content/uploads/2023/09/Bulletin_No4_Sr.Women_.pdf","","","1 yıl önce önce  tarafından eklendi","","","Tia_maria","https://women.volleybox.net/tr/user/Tia_maria","",""
",  Group E","2023-09-03 11:00","Asya Şampiyonası 2023","https://women.volleybox.net/tr/women-asian-championships-2023-o25267/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/thailand-south-korea-c190116","","1","https://asianvolleyball.net/new/wp-content/uploads/2023/09/Bulletin_No5_Sr.Women_.pdf","","","1 yıl önce önce  tarafından eklendi","","","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group E","2023-09-04 11:00","Asya Şampiyonası 2023","https://women.volleybox.net/tr/women-asian-championships-2023-o25267/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Avustralya","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/australia-south-korea-c190118","","1","https://asianvolleyball.net/new/wp-content/uploads/2023/09/Bulletin_No6_Sr.Women_.pdf","","","1 yıl önce önce  tarafından eklendi","","","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  5-8 places","2023-09-05 08:00","Asya Şampiyonası 2023","https://women.volleybox.net/tr/women-asian-championships-2023-o25267/matches","MCC Hall The Mall Korat, Nakhon Ratchasima","https://women.volleybox.net/tr/mcc-hall-the-mall-korat-a1084/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/india-t904/matches","https://volleybox.net/media/img/light-px.png","Hindistan","https://women.volleybox.net/tr/south-korea-india-c190379","","1","https://asianvolleyball.net/new/wp-content/uploads/2023/09/Bulletin_No7_Sr.Women_.pdf","","","1 yıl önce önce  tarafından eklendi","","","","","",""
",  5th place match","2023-09-06 08:00","Asya Şampiyonası 2023","https://women.volleybox.net/tr/women-asian-championships-2023-o25267/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","Kazakistan","https://women.volleybox.net/tr/south-korea-kazakhstan-c190522","","1","https://asianvolleyball.net/new/wp-content/uploads/2023/09/Bulletin_No8_Sr.Women_.pdf","","","1 yıl önce önce  tarafından eklendi","","","","","",""
",  Group C","2023-10-01 05:30","Asya Oyunları 2023","https://women.volleybox.net/tr/women-asian-games-2023-o24005/matches","Hangzhou Normal University Cangqian Gymnasium, Hangzhou City Zhejiang","https://women.volleybox.net/tr/hangzhou-normal-university-cangqian-gymnasium-a4264/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/south-korea-vietnam-c194288","","","","3","","1 yıl önce önce  tarafından eklendi","","","pararem prem","https://women.volleybox.net/tr/user/5416","",""
",  Group C","2023-10-02 05:30","Asya Oyunları 2023","https://women.volleybox.net/tr/women-asian-games-2023-o24005/matches","Hangzhou Normal University Cangqian Gymnasium, Hangzhou City Zhejiang","https://women.volleybox.net/tr/hangzhou-normal-university-cangqian-gymnasium-a4264/matches","Nepal","https://women.volleybox.net/tr/nepal-t1054/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/nepal-south-korea-c194293","","1","https://info.hangzhou2022.cn/resAG2022-/pdf/AG2022-/VVO/AG2022-_VVO_C73_VVOWTEAM6-------------GPC-000300--.pdf","","","1 yıl önce önce  tarafından eklendi","","","pararem prem","https://women.volleybox.net/tr/user/5416","",""
",  Group E","2023-10-04 14:00","Asya Oyunları 2023","https://women.volleybox.net/tr/women-asian-games-2023-o24005/matches","Hangzhou Normal University Cangqian Gymnasium, Hangzhou City Zhejiang","https://women.volleybox.net/tr/hangzhou-normal-university-cangqian-gymnasium-a4264/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c195166","","1","https://info.hangzhou2022.cn/resAG2022-/pdf/AG2022-/VVO/AG2022-_VVO_C73_VVOWTEAM6-------------GPE-000200--.pdf","","","1 yıl önce önce  tarafından eklendi","","","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group E","2023-10-05 09:30","Asya Oyunları 2023","https://women.volleybox.net/tr/women-asian-games-2023-o24005/matches","Hangzhou Normal University Cangqian Gymnasium, Hangzhou City Zhejiang","https://women.volleybox.net/tr/hangzhou-normal-university-cangqian-gymnasium-a4264/matches","Kuzey Kore","https://women.volleybox.net/tr/north-korea-t943/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/north-korea-south-korea-c195169","","1","https://info.hangzhou2022.cn/resAG2022-/pdf/AG2022-/VVO/AG2022-_VVO_C73_VVOWTEAM6-------------GPE-000300--.pdf","1","","1 yıl önce önce  tarafından eklendi","","","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  5-8 places","2023-10-06 09:30","Asya Oyunları 2023","https://women.volleybox.net/tr/women-asian-games-2023-o24005/matches","Deqing Sports Center Gymnasium, Deqing","https://women.volleybox.net/tr/deqing-sports-center-gymnasium-a938/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","Kazakistan","https://women.volleybox.net/tr/south-korea-kazakhstan-c195515","","1","https://info.hangzhou2022.cn/resAG2022-/pdf/AG2022-/VVO/AG2022-_VVO_C73_VVOWTEAM6-------------SF5-000100--.pdf","","","1 yıl önce önce  tarafından eklendi","","","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  5th place match","2023-10-07 13:30","Asya Oyunları 2023","https://women.volleybox.net/tr/women-asian-games-2023-o24005/matches","Deqing Sports Center Gymnasium, Deqing","https://women.volleybox.net/tr/deqing-sports-center-gymnasium-a938/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/south-korea-chinese-taipei-c195582","","1","https://info.hangzhou2022.cn/resAG2022-/pdf/AG2022-/VVO/AG2022-_VVO_C73_VVOWTEAM6-------------FNL-000300--.pdf","","","1 yıl önce önce  tarafından eklendi","","","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
