"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_moderator","rank_moderator href","show_movies 2","show_movies href","rank_admin","rank_admin href","rank_newbie","rank_newbie href"
",  Group I1","2017-07-20 21:05","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Ginásio Aecim Tocantins, Cuiabá","https://women.volleybox.net/tr/ginasio-aecim-tocantins-a60/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/brazil-belgium-c6255","","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-049.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group I1","2017-07-21 21:05","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Ginásio Aecim Tocantins, Cuiabá","https://women.volleybox.net/tr/ginasio-aecim-tocantins-a60/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/brazil-netherlands-c6257","","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-051.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group I1","2017-07-23 16:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Ginásio Aecim Tocantins, Cuiabá","https://women.volleybox.net/tr/ginasio-aecim-tocantins-a60/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/brazil-usa-c6259","","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-053.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group J1","2017-08-02 14:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/china-brazil-c6273","3","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-056.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group J1","2017-08-03 14:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/brazil-netherlands-c6274","3","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-058.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Semi-Final (Group 1)","2017-08-05 10:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/serbia-brazil-c6377","2","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-062.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Final (Group 1)","2017-08-06 15:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/italy-brazil-c6411","2","7 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-064.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Round Robin","2017-08-15 18:00","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/brazil-argentina-c6435","","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","","","","",""
",  Round Robin","2017-08-16 16:00","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Venezuela","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/venezuela-brazil-c6437","","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","","","","",""
",  Round Robin","2017-08-17 18:00","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","Şili","https://women.volleybox.net/tr/brazil-chile-c6441","","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","","","","",""
",  Round Robin","2017-08-18 18:00","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/brazil-peru-c6445","","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","","","","",""
",  Round Robin","2017-08-19 18:30","Güney Amerika Şampiyonası 2017","https://women.volleybox.net/tr/women-south-american-championships-2017-o3937/matches","Coliseo Evangelista Mora, Santiago de Cali","https://women.volleybox.net/tr/coliseo-evangelista-mora-a669/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/colombia-brazil-c6449","","7 yıl önce önce  tarafından eklendi","marciovolley","https://women.volleybox.net/tr/user/marciovolley","","","","","",""
",  9-12 places","2017-08-25 14:00","FISU Dünya Üniversite Oyunları 2017","https://women.volleybox.net/tr/women-fisu-world-university-games-2017-o3976/matches","Army Academy R.O.C., Taipei","https://women.volleybox.net/tr/army-academy-roc-a5675/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/latvia-t958/matches","https://volleybox.net/media/img/light-px.png","Letonya","https://women.volleybox.net/tr/brazil-latvia-c151266","","2 yıl önce önce  tarafından eklendi","","","","","","","johngerry","https://women.volleybox.net/tr/user/johngerry"
",  1st match","2017-09-05 08:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/russia-brazil-c31238","","5 yıl önce önce  tarafından eklendi","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  2nd match","2017-09-06 08:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/brazil-china-c31241","","5 yıl önce önce  tarafından eklendi","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  3rd match","2017-09-08 15:15","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/japan-brazil-c31246","","5 yıl önce önce  tarafından eklendi","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  4th match","2017-09-09 11:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/brazil-south-korea-c31248","","5 yıl önce önce  tarafından eklendi","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  5th match","2017-09-10 10:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/usa-brazil-c31251","","5 yıl önce önce  tarafından eklendi","","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
