"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_movies href","rank_admin","rank_admin href","rank_newbie","rank_newbie href"
",  Group E1","2017-07-15 09:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/usa-italy-c6209","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-027.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group E1","2017-07-16 10:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/china-usa-c6212","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-030.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group I1","2017-07-20 23:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Ginásio Aecim Tocantins, Cuiabá","https://women.volleybox.net/tr/ginasio-aecim-tocantins-a60/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/usa-netherlands-c6256","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-050.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group I1","2017-07-21 23:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Ginásio Aecim Tocantins, Cuiabá","https://women.volleybox.net/tr/ginasio-aecim-tocantins-a60/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/usa-belgium-c6258","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-052.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group I1","2017-07-23 16:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Ginásio Aecim Tocantins, Cuiabá","https://women.volleybox.net/tr/ginasio-aecim-tocantins-a60/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/brazil-usa-c6259","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-053.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group K1","2017-08-02 10:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/serbia-usa-c6276","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-055.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group K1","2017-08-03 10:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/usa-italy-c6277","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-057.pdf","Volleybox","https://women.volleybox.net/tr/user/Volleybox","",""
",  Group C","2017-08-22 16:00","FISU Dünya Üniversite Oyunları 2017","https://women.volleybox.net/tr/women-fisu-world-university-games-2017-o3976/matches","Army Academy R.O.C., Taipei","https://women.volleybox.net/tr/army-academy-roc-a5675/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/latvia-t958/matches","https://volleybox.net/media/img/light-px.png","Letonya","https://women.volleybox.net/tr/usa-latvia-c151262","2 yıl önce önce  tarafından eklendi","","","","","","johngerry","https://women.volleybox.net/tr/user/johngerry"
",  1st match","2017-09-05 11:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/usa-china-c31239","5 yıl önce önce  tarafından eklendi","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  2nd match","2017-09-06 11:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/south-korea-usa-c31242","5 yıl önce önce  tarafından eklendi","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  3rd match","2017-09-08 08:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/usa-russia-c31244","5 yıl önce önce  tarafından eklendi","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  4th match","2017-09-09 15:15","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/japan-usa-c31249","5 yıl önce önce  tarafından eklendi","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  5th match","2017-09-10 10:40","FIVB Grand Champions Cup 2017","https://women.volleybox.net/tr/women-fivb-grand-champions-cup-2017-o3793/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/usa-brazil-c31251","5 yıl önce önce  tarafından eklendi","","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
