"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_user","show_predictions"
",  Group K","2019-06-05 09:05","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/thailand-dominican-republic-c15986","","6 yıl önce önce  tarafından eklendi","S…k","18"
",  Group K","2019-06-06 09:05","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/thailand-turkey-c15988","1","6 yıl önce önce  tarafından eklendi","S…k","18"
",  Group O","2019-06-11 04:40","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Musashino Forest Sports Plaza, Chofu City Tokyo","https://women.volleybox.net/tr/musashino-forest-sports-plaza-a1211/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/serbia-thailand-c16007","","6 yıl önce önce  tarafından eklendi","S…k","18"
",  Group O","2019-06-12 04:40","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Musashino Forest Sports Plaza, Chofu City Tokyo","https://women.volleybox.net/tr/musashino-forest-sports-plaza-a1211/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/brazil-thailand-c16009","","6 yıl önce önce  tarafından eklendi","S…k","17"
",  Group O","2019-06-13 08:10","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Musashino Forest Sports Plaza, Chofu City Tokyo","https://women.volleybox.net/tr/musashino-forest-sports-plaza-a1211/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/japan-thailand-c16012","","6 yıl önce önce  tarafından eklendi","S…k","19"
",  Group S","2019-06-18 14:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","DIVS Uralochka, Ekaterinburg","https://women.volleybox.net/tr/divs-uralochka-a374/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/thailand-netherlands-c16031","","6 yıl önce önce  tarafından eklendi","S…k","21"
",  Group S","2019-06-19 17:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","DIVS Uralochka, Ekaterinburg","https://women.volleybox.net/tr/divs-uralochka-a374/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/russia-thailand-c16034","","6 yıl önce önce  tarafından eklendi","S…k","19"
",  Group S","2019-06-20 16:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","DIVS Uralochka, Ekaterinburg","https://women.volleybox.net/tr/divs-uralochka-a374/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/thailand-usa-c16035","","6 yıl önce önce  tarafından eklendi","S…k","17"
",  Group A","2019-07-05 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/thailand-russia-c16604","","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group A","2019-07-06 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/canada-thailand-c16620","1","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group A","2019-07-07 13:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/thailand-mexico-c16632","","5 yıl önce önce  tarafından eklendi","S…k",""
",  9-16 places","2019-07-09 13:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaCoscioni, Nocera","https://women.volleybox.net/tr/palacoscioni-a1368/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/thailand-argentina-c16703","","5 yıl önce önce  tarafından eklendi","S…k",""
",  13-16 places","2019-07-10 13:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaCoscioni, Nocera","https://women.volleybox.net/tr/palacoscioni-a1368/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","Ukrayna","https://women.volleybox.net/tr/thailand-ukraine-c16713","","5 yıl önce önce  tarafından eklendi","S…k",""
",  15th place match","2019-07-11 13:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","Palazzetto dello Sport, Ariano","https://women.volleybox.net/tr/palazzetto-dello-sport-a1370/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/thailand-mexico-c16776","","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group C","2019-08-18 10:30","Asya Şampiyonası 2019","https://women.volleybox.net/tr/women-asian-championships-2019-o5535/matches","Jamsil Students Gymnasium, Seoul","https://women.volleybox.net/tr/jamsil-students-gymnasium-a1316/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/thailand-chinese-taipei-c18871","1","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group C","2019-08-20 13:00","Asya Şampiyonası 2019","https://women.volleybox.net/tr/women-asian-championships-2019-o5535/matches","Jamsil Students Gymnasium, Seoul","https://women.volleybox.net/tr/jamsil-students-gymnasium-a1316/matches","Yeni Zelanda","https://women.volleybox.net/tr/new-zealand-t1066/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/new-zealand-thailand-c18873","","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group E","2019-08-22 13:00","Asya Şampiyonası 2019","https://women.volleybox.net/tr/women-asian-championships-2019-o5535/matches","Jamsil Arena, Seoul","https://women.volleybox.net/tr/jamsil-arena-a1315/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/iran-t910/matches","https://volleybox.net/media/img/light-px.png","İran","https://women.volleybox.net/tr/thailand-iran-c18920","","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group E","2019-08-23 05:30","Asya Şampiyonası 2019","https://women.volleybox.net/tr/women-asian-championships-2019-o5535/matches","Jamsil Arena, Seoul","https://women.volleybox.net/tr/jamsil-arena-a1315/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/south-korea-thailand-c18922","1","5 yıl önce önce  tarafından eklendi","S…k",""
",  semi-final","2019-08-24 17:00","Asya Şampiyonası 2019","https://women.volleybox.net/tr/women-asian-championships-2019-o5535/matches","Jamsil Arena, Seoul","https://women.volleybox.net/tr/jamsil-arena-a1315/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/china-thailand-c19020","","5 yıl önce önce  tarafından eklendi","",""
",  final","2019-08-25 08:00","Asya Şampiyonası 2019","https://women.volleybox.net/tr/women-asian-championships-2019-o5535/matches","Jamsil Arena, Seoul","https://women.volleybox.net/tr/jamsil-arena-a1315/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/japan-thailand-c19022","1","5 yıl önce önce  tarafından eklendi","",""
",  1st round","2019-09-20 13:00","SEA V.League 2019","https://women.volleybox.net/tr/women-sea-v-league-2019-o9773/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/thailand-vietnam-c20081","1","5 yıl önce önce  tarafından eklendi","",""
",  1st round","2019-09-21 10:00","SEA V.League 2019","https://women.volleybox.net/tr/women-sea-v-league-2019-o9773/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/philippines-t1111/matches","https://volleybox.net/media/img/light-px.png","Filipinler","https://women.volleybox.net/tr/thailand-philippines-c20098","1","5 yıl önce önce  tarafından eklendi","",""
",  1st round","2019-09-22 13:00","SEA V.League 2019","https://women.volleybox.net/tr/women-sea-v-league-2019-o9773/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/indonesia-t907/matches","https://volleybox.net/media/img/light-px.png","Endonezya","https://women.volleybox.net/tr/thailand-indonesia-c20101","1","5 yıl önce önce  tarafından eklendi","",""
",  2nd round","2019-10-04 12:00","SEA V.League 2019","https://women.volleybox.net/tr/women-sea-v-league-2019-o9773/matches","Santa Rosa Sports Complex, Laguna","https://women.volleybox.net/tr/santa-rosa-sports-complex-a1653/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/indonesia-t907/matches","https://volleybox.net/media/img/light-px.png","Endonezya","https://women.volleybox.net/tr/thailand-indonesia-c20610","","5 yıl önce önce  tarafından eklendi","",""
",  2nd round","2019-10-05 12:00","SEA V.League 2019","https://women.volleybox.net/tr/women-sea-v-league-2019-o9773/matches","Santa Rosa Sports Complex, Laguna","https://women.volleybox.net/tr/santa-rosa-sports-complex-a1653/matches","Filipinler","https://women.volleybox.net/tr/philippines-t1111/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/philippines-thailand-c20612","","5 yıl önce önce  tarafından eklendi","",""
",  2nd round","2019-10-06 10:00","SEA V.League 2019","https://women.volleybox.net/tr/women-sea-v-league-2019-o9773/matches","Santa Rosa Sports Complex, Laguna","https://women.volleybox.net/tr/santa-rosa-sports-complex-a1653/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/thailand-vietnam-c20613","","5 yıl önce önce  tarafından eklendi","",""
",  Round Robin","2019-12-03 10:30","Güneydoğu Asya Oyunları 2019","https://women.volleybox.net/tr/women-southeast-asian-games-2019-o10805/matches","PhilSports Arena, Pasig","https://women.volleybox.net/tr/philsports-arena-a1378/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/indonesia-t907/matches","https://volleybox.net/media/img/light-px.png","Endonezya","https://women.volleybox.net/tr/thailand-indonesia-c25822","","5 yıl önce önce  tarafından eklendi","S…k",""
",  Round Robin","2019-12-05 13:00","Güneydoğu Asya Oyunları 2019","https://women.volleybox.net/tr/women-southeast-asian-games-2019-o10805/matches","PhilSports Arena, Pasig","https://women.volleybox.net/tr/philsports-arena-a1378/matches","Filipinler","https://women.volleybox.net/tr/philippines-t1111/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/philippines-thailand-c25825","","5 yıl önce önce  tarafından eklendi","S…k",""
",  Round Robin","2019-12-07 10:30","Güneydoğu Asya Oyunları 2019","https://women.volleybox.net/tr/women-southeast-asian-games-2019-o10805/matches","PhilSports Arena, Pasig","https://women.volleybox.net/tr/philsports-arena-a1378/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/thailand-vietnam-c25826","","5 yıl önce önce  tarafından eklendi","S…k",""
",  final","2019-12-09 13:00","Güneydoğu Asya Oyunları 2019","https://women.volleybox.net/tr/women-southeast-asian-games-2019-o10805/matches","PhilSports Arena, Pasig","https://women.volleybox.net/tr/philsports-arena-a1378/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","Vietnam","https://women.volleybox.net/tr/thailand-vietnam-c25829","","5 yıl önce önce  tarafından eklendi","S…k",""
