"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_editor","rank_editor href","rank_user","show_movies","show_movies 3","show_movies href"
",  3rd place match","2019-07-12 09:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaSele, Eboli","https://women.volleybox.net/tr/palasele-a1046/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/japan-hungary-c16811","5 yıl önce önce  tarafından eklendi","","","S…k","1","",""
",  1st round","2019-08-10 20:00","Savaria Cup 2019","https://women.volleybox.net/tr/women-savaria-cup-2019-o20953/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/greece-t862/matches","https://volleybox.net/media/img/light-px.png","Yunanistan","https://women.volleybox.net/tr/hungary-greece-c74406","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  2nd round","2019-08-11 18:00","Savaria Cup 2019","https://women.volleybox.net/tr/women-savaria-cup-2019-o20953/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","Fransa","https://women.volleybox.net/tr/hungary-france-c74408","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",","2019-08-13 18:00","dostluk maçı 2018/19","https://women.volleybox.net/tr/women-friendly-match-2018-19-o9674/matches","Folyondár Sportcentrum, Budapest","https://women.volleybox.net/tr/folyondar-sportcentrum-a1251/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/hungary-spain-c18669","5 yıl önce önce  tarafından eklendi","","","S…k","","",""
",  4th round","2019-08-13 18:00","Savaria Cup 2019","https://women.volleybox.net/tr/women-savaria-cup-2019-o20953/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","İspanya","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/spain-hungary-c74412","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  5th round","2019-08-14 20:30","Savaria Cup 2019","https://women.volleybox.net/tr/women-savaria-cup-2019-o20953/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","Slovenya","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/slovenia-hungary-c74414","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group C","2019-08-23 22:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Papp László Budapest Sportaréna, Budapest","https://women.volleybox.net/tr/papp-laszlo-budapest-sportarena-a1393/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/estonia-t823/matches","https://volleybox.net/media/img/light-px.png","Estonya","https://women.volleybox.net/tr/hungary-estonia-c14185","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","1","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32168"
",  Group C","2019-08-24 22:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Papp László Budapest Sportaréna, Budapest","https://women.volleybox.net/tr/papp-laszlo-budapest-sportarena-a1393/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/romania-hungary-c14215","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","1","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32170"
",  Group C","2019-08-26 22:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Papp László Budapest Sportaréna, Budapest","https://women.volleybox.net/tr/papp-laszlo-budapest-sportarena-a1393/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","Azerbaycan","https://women.volleybox.net/tr/hungary-azerbaijan-c14219","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","1","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32174"
",  Group C","2019-08-28 14:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Papp László Budapest Sportaréna, Budapest","https://women.volleybox.net/tr/papp-laszlo-budapest-sportarena-a1393/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/croatia-hungary-c14223","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","2","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32178"
",  Group C","2019-08-29 19:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Papp László Budapest Sportaréna, Budapest","https://women.volleybox.net/tr/papp-laszlo-budapest-sportarena-a1393/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/hungary-netherlands-c14225","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","2","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32180"
