"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_moderator","rank_moderator href","show_movies","show_movies href","show_movies 2","show_predictions","rank_newbie","rank_newbie href"
",  Group D","2023-07-31 12:30","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Chengdu University Gymnasium, Chengdu","https://women.volleybox.net/tr/chengdu-university-gymnasium-a6466/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/japan-colombia-c183508","1 yıl önce önce  tarafından eklendi","J…e","","","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-07-31~2023-07-31~184327736~DT_PDF~C73~VVOWTEAM6-------------GPD-000200--~~~2~P~.pdf","","","",""
",  9th-12nd Semi-Final","2023-08-03 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Xihua University Gymnasium, Chengdu","https://women.volleybox.net/tr/xihua-university-gymnasium-a6468/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c183761","1 yıl önce önce  tarafından eklendi","","","","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-03~2023-08-03~212457733~DT_PDF~C73~VVOWTEAM6-------------SF9-000200--~~~1~P~.pdf","","","",""
",  11th place match","2023-08-05 12:30","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Hongyi Gymnasium, Chengdu","https://women.volleybox.net/tr/hongyi-gymnasium-a6467/matches","Hindistan","https://women.volleybox.net/tr/india-t904/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/india-colombia-c184479","1 yıl önce önce  tarafından eklendi","","","","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-05~2023-08-05~185954741~DT_PDF~C73~VVOWTEAM6-------------FNL-000600--~~~1~P~.pdf","","","",""
",  Group A","2023-08-07 01:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/canada-colombia-c182852","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","1","45","",""
",  Group A","2023-08-08 23:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/usa-colombia-c182856","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","2","48","",""
",  Group A","2023-08-09 21:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/colombia-costa-rica-c184963","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","1","47","",""
",  Group A","2023-08-10 21:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/colombia-peru-c182841","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","","51","",""
",  quarterfinal","2023-08-12 03:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/colombia-puerto-rico-c186329","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","","27","",""
",  5-8 places","2023-08-12 21:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/mexico-colombia-c186476","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","","20","",""
",  5th place match","2023-08-13 21:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/colombia-peru-c186625","1 yıl önce önce  tarafından eklendi","J…e","","","","","","27","",""
",  Round Robin","2023-08-20 22:00","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Şili","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/chile-colombia-c181402","1 yıl önce önce  tarafından eklendi","","","","","","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Round Robin","2023-08-22","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c181404","1 yıl önce önce  tarafından eklendi","","","","","","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Round Robin","2023-08-23","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c181406","1 yıl önce önce  tarafından eklendi","","","","","","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Round Robin","2023-08-24 02:30","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/brazil-colombia-c181409","1 yıl önce önce  tarafından eklendi","","","","","","1","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Group B","2023-10-21 23:30","Pan Amerikan Oyunları 2023","https://women.volleybox.net/tr/women-pan-american-games-2023-o23282/matches","Arena Parque O'Higgins, Santiago","https://women.volleybox.net/tr/arena-parque-ohiggins-a6773/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/colombia-mexico-c197037","1 yıl önce önce  tarafından eklendi","","","","1","https://wrs-panam2023-resources.s3.us-west-2.amazonaws.com/santiago/reports/VVOWTEAM6-------------GP02000100--.C83_1_0.pdf","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Group B","2023-10-23 02:30","Pan Amerikan Oyunları 2023","https://women.volleybox.net/tr/women-pan-american-games-2023-o23282/matches","Arena Parque O'Higgins, Santiago","https://women.volleybox.net/tr/arena-parque-ohiggins-a6773/matches","Şili","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/chile-colombia-c197042","1 yıl önce önce  tarafından eklendi","","","","1","https://wrs-panam2023-resources.s3.us-west-2.amazonaws.com/santiago/reports/VVOWTEAM6-------------GP02000400--.C83_1_0.pdf","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Group B","2023-10-23 23:30","Pan Amerikan Oyunları 2023","https://women.volleybox.net/tr/women-pan-american-games-2023-o23282/matches","Arena Parque O'Higgins, Santiago","https://women.volleybox.net/tr/arena-parque-ohiggins-a6773/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/dominican-republic-colombia-c197045","1 yıl önce önce  tarafından eklendi","","","","1","https://wrs-panam2023-resources.s3.us-west-2.amazonaws.com/santiago/reports/VVOWTEAM6-------------GP02000500--.C83_1_0.pdf","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
