"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","connected_by","rank_user","rank_user href","show_movies","show_movies href"
",  Group M","2019-06-13 16:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","PalaBarton, Perugia","https://women.volleybox.net/tr/palabarton-a233/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/italy-russia-c16000","18","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group S","2019-06-18 17:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","DIVS Uralochka, Ekaterinburg","https://women.volleybox.net/tr/divs-uralochka-a374/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/russia-usa-c16032","20","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group S","2019-06-19 17:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","DIVS Uralochka, Ekaterinburg","https://women.volleybox.net/tr/divs-uralochka-a374/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/russia-thailand-c16034","19","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group S","2019-06-20 14:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","DIVS Uralochka, Ekaterinburg","https://women.volleybox.net/tr/divs-uralochka-a374/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/russia-netherlands-c16036","18","6 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group A","2019-07-05 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/thailand-russia-c16604","","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group A","2019-07-06 13:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/mexico-russia-c16616","","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group A","2019-07-07 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/russia-canada-c16636","","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  quarterfinal","2019-07-09 13:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaSele, Eboli","https://women.volleybox.net/tr/palasele-a1046/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/russia-czech-republic-c16699","","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  semi-final","2019-07-10 09:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaSele, Eboli","https://women.volleybox.net/tr/palasele-a1046/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/russia-japan-c16717","","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  final","2019-07-12 21:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaSele, Eboli","https://women.volleybox.net/tr/palasele-a1046/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/russia-italy-c16812","","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group D","2019-08-23 19:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Belarus","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/belarus-russia-c14186","","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32182"
",  Group D","2019-08-25 22:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/switzerland-t1201/matches","https://volleybox.net/media/img/light-px.png","İsviçre","https://women.volleybox.net/tr/russia-switzerland-c14191","","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32187"
",  Group D","2019-08-26 19:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/germany-russia-c14206","","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32188"
",  Group D","2019-08-28 13:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/russia-spain-c14210","","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32192"
",  Group D","2019-08-29 21:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Slovakya","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/slovakia-russia-c14213","","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32195"
",  1/8 round","2019-09-01 16:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/russia-belgium-c19195","","5 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=36911"
",  quarterfinal","2019-09-04 19:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/italy-russia-c19286","","5 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=36916"
",  Round Robin","2019-09-14 06:30","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Kamerun","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/cameroon-russia-c19234","26","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256224878"
",  Round Robin","2019-09-15 13:20","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/japan-russia-c19239","26","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256225065"
",  Round Robin","2019-09-16 09:40","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/china-russia-c19241","25","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256225190"
",  Round Robin","2019-09-18 06:30","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/russia-south-korea-c19243","26","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256225469"
",  Round Robin","2019-09-19 06:30","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Yokohama Arena, Yokohama City Kanagawa","https://women.volleybox.net/tr/yokohama-arena-a285/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/dominican-republic-russia-c19651","26","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256225774"
",  Round Robin","2019-09-22 11:00","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Toyama City Gymnasium, Toyama City Toyama","https://women.volleybox.net/tr/toyama-city-gymnasium-a284/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/russia-serbia-c19544","26","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256226333"
",  Round Robin","2019-09-23 11:00","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Toyama City Gymnasium, Toyama City Toyama","https://women.volleybox.net/tr/toyama-city-gymnasium-a284/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/russia-argentina-c19547","26","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256226453"
",  Round Robin","2019-09-24 12:00","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Toyama City Gymnasium, Toyama City Toyama","https://women.volleybox.net/tr/toyama-city-gymnasium-a284/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/russia-netherlands-c19550","25","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256226697"
",  Round Robin","2019-09-27 12:00","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Asue Arena Osaka, Minatoku Ward Osaka","https://women.volleybox.net/tr/asue-arena-osaka-a274/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/russia-usa-c19562","27","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256227285"
",  Round Robin","2019-09-28 11:00","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Asue Arena Osaka, Minatoku Ward Osaka","https://women.volleybox.net/tr/asue-arena-osaka-a274/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/russia-kenya-c19565","27","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256227408"
",  Round Robin","2019-09-29 08:00","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Asue Arena Osaka, Minatoku Ward Osaka","https://women.volleybox.net/tr/asue-arena-osaka-a274/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/russia-brazil-c19567","28","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256227449"
