"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","connected_by","rank_user","rank_user href","show_movies 2","show_movies href","rank_moderator","rank_moderator href","show_movies 3"
",  round robin - 4th round","2022-09-07 22:00","NORCECA Pan American Cup Final Six 2022","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2022-o25620/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/mexico-puerto-rico-c125143","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  round robin - 5th round","2022-09-08 22:00","NORCECA Pan American Cup Final Six 2022","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2022-o25620/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c125146","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  semi-final","2022-09-10","NORCECA Pan American Cup Final Six 2022","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2022-o25620/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/usa-puerto-rico-c130028","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  3rd place match","2022-09-11","NORCECA Pan American Cup Final Six 2022","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2022-o25620/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c130094","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  Group A","2022-09-24 15:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/belgium-puerto-rico-c111062","136","1","3 yıl önce önce  tarafından eklendi","Adrian HS","https://women.volleybox.net/tr/user/AdrianHS","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540323","","","2"
",  Group A","2022-09-26 19:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/italy-puerto-rico-c113215","142","1","3 yıl önce önce  tarafından eklendi","I…Y","","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540636","","","2"
",  Group A","2022-09-28 21:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/netherlands-puerto-rico-c113219","137","1","3 yıl önce önce  tarafından eklendi","I…Y","","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541284","","","2"
",  Group A","2022-09-29 22:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","Kamerun","https://women.volleybox.net/tr/puerto-rico-cameroon-c113221","139","1","3 yıl önce önce  tarafından eklendi","I…Y","","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541710","","","1"
",  Group A","2022-10-01 17:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/puerto-rico-kenya-c113223","137","1","3 yıl önce önce  tarafından eklendi","I…Y","","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256542261","","","1"
",  Group E","2022-10-05 18:15","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Topsporthal Hall, Rotterdam","https://women.volleybox.net/tr/topsporthal-hall-a303/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/china-puerto-rico-c132585","94","2","2 yıl önce önce  tarafından eklendi","dfondatto","https://women.volleybox.net/tr/user/dfondatto","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543080","","","1"
",  Group E","2022-10-06 17:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ahoy, Rotterdam","https://women.volleybox.net/tr/ahoy-a302/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/brazil-puerto-rico-c132321","109","2","2 yıl önce önce  tarafından eklendi","dfondatto","https://women.volleybox.net/tr/user/dfondatto","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543353","","","1"
",  Group E","2022-10-07 15:15","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ahoy, Rotterdam","https://women.volleybox.net/tr/ahoy-a302/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/japan-puerto-rico-c132628","101","2","2 yıl önce önce  tarafından eklendi","panbajt","https://women.volleybox.net/tr/user/panbajt","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543605","","","1"
",  Group E","2022-10-09 19:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ahoy, Rotterdam","https://women.volleybox.net/tr/ahoy-a302/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/puerto-rico-argentina-c132637","111","1","2 yıl önce önce  tarafından eklendi","panbajt","https://women.volleybox.net/tr/user/panbajt","","","","","1"
