"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_movies href","show_predictions","show_movies 2","rank_moderator","rank_moderator href","rank_newbie","rank_newbie href"
",  semi-final","2023-08-13 01:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/usa-argentina-c186471","1 yıl önce önce  tarafından eklendi","","","","26","","avid","https://women.volleybox.net/tr/user/avid","",""
",  final","2023-08-14 00:59","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/argentina-puerto-rico-c186788","1 yıl önce önce  tarafından eklendi","J…e","","","21","","","","",""
",  Round Robin","2023-08-20","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/argentina-peru-c181400","1 yıl önce önce  tarafından eklendi","","","","","","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Round Robin","2023-08-21 00:30","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/brazil-argentina-c181403","1 yıl önce önce  tarafından eklendi","","","","","1","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Round Robin","2023-08-22 02:30","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Şili","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/chile-argentina-c181405","1 yıl önce önce  tarafından eklendi","","","","","","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Round Robin","2023-08-23","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c181406","1 yıl önce önce  tarafından eklendi","","","","","","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Group 2","2023-09-16 13:00","Dünya Kupası 2023","https://women.volleybox.net/tr/women-fivb-world-cup-2023-o40052/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/brazil-argentina-c297638","1 ay önce önce  tarafından eklendi","Ali Emre Karanfil","","","","","","","",""
",  Group 2","2023-09-17 19:25","Dünya Kupası 2023","https://women.volleybox.net/tr/women-fivb-world-cup-2023-o40052/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/japan-argentina-c297648","1 ay önce önce  tarafından eklendi","Ali Emre Karanfil","","","","","","","",""
",  Group 2","2023-09-19 10:00","Dünya Kupası 2023","https://women.volleybox.net/tr/women-fivb-world-cup-2023-o40052/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/belgium-argentina-c297650","1 ay önce önce  tarafından eklendi","Ali Emre Karanfil","","","","","","","",""
",  Group A","2023-10-21 19:30","Pan Amerikan Oyunları 2023","https://women.volleybox.net/tr/women-pan-american-games-2023-o23282/matches","Arena Parque O'Higgins, Santiago","https://women.volleybox.net/tr/arena-parque-ohiggins-a6773/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/puerto-rico-argentina-c197036","1 yıl önce önce  tarafından eklendi","","1","https://wrs-panam2023-resources.s3.us-west-2.amazonaws.com/santiago/reports/VVOWTEAM6-------------GP01000200--.C83_1_0.pdf","","1","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Group A","2023-10-22 19:30","Pan Amerikan Oyunları 2023","https://women.volleybox.net/tr/women-pan-american-games-2023-o23282/matches","Arena Parque O'Higgins, Santiago","https://women.volleybox.net/tr/arena-parque-ohiggins-a6773/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/brazil-argentina-c197040","1 yıl önce önce  tarafından eklendi","","1","https://wrs-panam2023-resources.s3.us-west-2.amazonaws.com/santiago/reports/VVOWTEAM6-------------GP01000400--.C83_1_0.pdf","","1","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Group A","2023-10-23 19:30","Pan Amerikan Oyunları 2023","https://women.volleybox.net/tr/women-pan-american-games-2023-o23282/matches","Arena Parque O'Higgins, Santiago","https://women.volleybox.net/tr/arena-parque-ohiggins-a6773/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/argentina-cuba-c197044","1 yıl önce önce  tarafından eklendi","","1","https://wrs-panam2023-resources.s3.us-west-2.amazonaws.com/santiago/reports/VVOWTEAM6-------------GP01000600--.C83_1_0.pdf","","1","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
