"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies href","show_movies 2","show_movies 3","connected_by","rank_moderator","rank_moderator href","show_movies 4","rank_newbie","rank_newbie href"
",  Week Three","2023-07-01 11:30","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","West Suwon Chilbo Gymnasium, Suwon","https://women.volleybox.net/tr/west-suwon-chilbo-gymnasium-a6087/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/germany-usa-c170980","127","https://www.fivb.org/vis2009/getdocument.asmx?no=256575179","1","3","2 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","","",""
",  quarterfinal","2023-07-13","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/poland-germany-c178647","113","https://www.fivb.org/vis2009/getdocument.asmx?no=256600400","1","1","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","4","",""
",  Group B","2023-07-30 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Xipu Campus Gymnasium, Chengdu","https://women.volleybox.net/tr/xipu-campus-gymnasium-a6464/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/china-germany-c183503","","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-07-30~2023-07-30~215611719~DT_PDF~C73~VVOWTEAM6-------------GPB-000100--~~~1~P~.pdf","","","1 yıl önce önce  tarafından eklendi","","","","",""
",  Group B","2023-08-01 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Guanghua Campus Gymnasium, Chengdu","https://women.volleybox.net/tr/guanghua-campus-gymnasium-a6465/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/germany-argentina-c183513","","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-01~2023-08-01~212849932~DT_PDF~C73~VVOWTEAM6-------------GPB-000300--~~~4~P~.pdf","","","1 yıl önce önce  tarafından eklendi","","","","",""
",  quarterfinal","2023-08-03 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Xipu Campus Gymnasium, Chengdu","https://women.volleybox.net/tr/xipu-campus-gymnasium-a6464/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/japan-germany-c183758","","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-03~2023-08-03~212032647~DT_PDF~C73~VVOWTEAM6-------------QFNL000300--~~~1~P~.pdf?random=0.12111510086435417","","","1 yıl önce önce  tarafından eklendi","","","","",""
",  5th-8th Semi-final","2023-08-04 12:30","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Guanghua Campus Gymnasium, Chengdu","https://women.volleybox.net/tr/guanghua-campus-gymnasium-a6465/matches","Hong Kong","https://women.volleybox.net/tr/hong-kong-t895/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/hong-kong-germany-c184206","","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-04~2023-08-04~183831169~DT_PDF~C73~VVOWTEAM6-------------SF5-000100--~~~3~P~.pdf","","","1 yıl önce önce  tarafından eklendi","","","","",""
",  5th place match","2023-08-05 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Guanghua Campus Gymnasium, Chengdu","https://women.volleybox.net/tr/guanghua-campus-gymnasium-a6465/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/germany-italy-c184480","","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-05~2023-08-05~221910949~DT_PDF~C73~VVOWTEAM6-------------FNL-000300--~~~1~P~.pdf","","","1 yıl önce önce  tarafından eklendi","","","","",""
",  Group C","2023-08-17 21:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","CASTELLO Düsseldorf, Düsseldorf","https://women.volleybox.net/tr/castello-dusseldorf-a6532/matches","Yunanistan","https://women.volleybox.net/tr/greece-t862/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/greece-germany-c155575","90","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66406","1","1","2 yıl önce önce  tarafından eklendi","","","1","BP16","https://women.volleybox.net/tr/user/BP16"
",  Group C","2023-08-19 21:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","CASTELLO Düsseldorf, Düsseldorf","https://women.volleybox.net/tr/castello-dusseldorf-a6532/matches","Azerbaycan","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/azerbaijan-germany-c155576","91","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66410","1","1","2 yıl önce önce  tarafından eklendi","","","1","BP16","https://women.volleybox.net/tr/user/BP16"
",  Group C","2023-08-21 21:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","CASTELLO Düsseldorf, Düsseldorf","https://women.volleybox.net/tr/castello-dusseldorf-a6532/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/sweden-t1198/matches","https://volleybox.net/media/img/light-px.png","İsveç","https://women.volleybox.net/tr/germany-sweden-c155577","89","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66414","2","1","2 yıl önce önce  tarafından eklendi","","","","BP16","https://women.volleybox.net/tr/user/BP16"
",  Group C","2023-08-22 21:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","CASTELLO Düsseldorf, Düsseldorf","https://women.volleybox.net/tr/castello-dusseldorf-a6532/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/germany-czech-republic-c155578","88","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66416","1","1","2 yıl önce önce  tarafından eklendi","","","","BP16","https://women.volleybox.net/tr/user/BP16"
",  Group C","2023-08-24 21:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","CASTELLO Düsseldorf, Düsseldorf","https://women.volleybox.net/tr/castello-dusseldorf-a6532/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/germany-turkey-c151133","94","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=66420","2","3","2 yıl önce önce  tarafından eklendi","","","","",""
",  1/8 round","2023-08-27 21:00","Avrupa Şampiyonası 2023","https://women.volleybox.net/tr/women-european-championships-2023-o23283/matches","Paleis 12, Brussels","https://women.volleybox.net/tr/paleis-12-a1429/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/poland-germany-c189342","83","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=68934","1","2","1 yıl önce önce  tarafından eklendi","","","","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian"
